RMS V	RMS I	PF	Active power	Reactive power	Apparent power	TV	Microwave	Fan
230.31	0.59	0.85	0.38	0.24	0.45	1	0	1
230.03	0.59	0.85	32.52	20.28	38.33	1	0	1
229.98	0.6	0.85	146	89.6	171.3	1	0	1
230.36	0.6	0.85	27.73	17.05	32.55	1	0	1
229.97	0.61	0.85	258.14	157.96	302.64	1	0	1
230.2	0.6	0.85	58.63	35.93	68.76	1	0	1
230.12	0.61	0.85	148.44	90.46	173.83	1	0	1
230.19	0.61	0.85	111.11	67.59	130.05	1	0	1
230.36	0.61	0.86	73.25	44.19	85.55	1	0	1
230.1	0.61	0.86	60.41	36.49	70.58	1	0	1
230.11	0.61	0.86	148.61	89.48	173.47	1	0	1
230.2	0.61	0.86	68.01	40.66	79.24	1	0	1
230.07	0.61	0.86	183.24	108.74	213.07	1	0	1
230.14	0.61	0.86	85.15	50.88	99.2	1	0	1
230.24	0.61	0.86	144.32	85.36	167.67	1	0	1
230.15	0.61	0.86	125.92	75.58	146.86	1	0	1
230.4	0.61	0.86	71.06	42.18	82.64	1	0	1
230.05	0.61	0.86	64.08	38.12	74.56	1	0	1
230.16	0.61	0.86	149.44	88.09	173.47	1	0	1
230.24	0.61	0.86	60.13	35.64	69.9	1	0	1
230.06	0.61	0.86	183.98	107.48	213.07	1	0	1
230.13	0.61	0.86	84.02	49.24	97.39	1	0	1
230.26	0.61	0.86	143.81	84.8	166.95	1	0	1
230.11	0.61	0.86	142.55	84.29	165.6	1	0	1
230.43	0.61	0.86	10.46	6.1	12.11	1	0	1
230.14	0.61	0.86	29.58	17.45	34.34	1	0	1
229.98	0.61	0.86	147.8	86.6	171.3	1	0	1
230.32	0.61	0.86	20.81	12.16	24.1	1	0	1
229.91	0.61	0.86	256.27	151.03	297.46	1	0	1
230.17	0.61	0.86	51.85	30.33	60.07	1	0	1
230.03	0.61	0.86	149.98	87.17	173.47	1	0	1
230.26	0.6	0.86	44.51	26.23	51.67	1	0	1
229.99	0.61	0.86	180.44	105.6	209.07	1	0	1
230.16	0.61	0.86	62.75	36.8	72.75	1	0	1
230.13	0.61	0.86	149.2	87.78	173.11	1	0	1
